S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin,Party
357,Jalaun(45),NARAYAN DAS AHIRWAR,530180,53898,SP
358,Hamirpur(47),AJENDRA SINGH LODHI,490683,2629,SP
359,Banda(48),KRISHNA DEVI SHIVSHANKER PATEL,406567,71210,SP
360,Fatehpur(49),NARESH CHANDRA UTTAM PATEL,500328,33199,SP
361,Kaushambi(50),PUSHPENDRA SAROJ,509787,103944,SP
362,Faizabad(54),AWADHESH PRASAD,554289,54567,SP
363,Ambedkar Nagar(55),LALJI VERMA,544959,137247,SP
364,Shrawasti(58),RAM SHIROMANI VERMA,511055,76673,SP
365,Basti(61),RAM PRASAD CHAUDHARY,527005,100994,SP
366,Sant Kabir Nagar(62),LAXMIKANT PAPPU NISHAD,498695,92170,SP
367,Lalganj(68),DAROGA PRASAD SAROJ,439959,115023,SP
368,Azamgarh(69),DHARMENDRA YADAV,508239,161035,SP
369,Ghosi(70),RAJEEV RAI,503131,162943,SP
370,Salempur(71),RAMASHANKAR RAJBHAR,405472,3573,SP
371,Ballia(72),SANATAN PANDEY,467068,43384,SP
372,Jaunpur(73),BABU SINGH KUSHWAHA,509130,99335,SP
373,Machhlishahr(74),PRIYA SAROJ,451292,35850,SP
374,Ghazipur(75),AFZAL ANSARI,539912,124861,SP
375,Chandauli(76),BIRENDRA SINGH,474476,21565,SP
376,Robertsganj(80),CHHOTELAL,465848,129234,SP
377,Coochbehar(1),JAGADISH CHANDRA BARMA BASUNIA,788375,39250,AITC
378,Jangipur(9),KHALILUR RAHAMAN,544427,116637,AITC
379,Baharampur(10),PATHAN YUSUF,524516,85022,AITC
380,Murshidabad(11),ABU TAHER KHAN,682442,164215,AITC
381,Krishnanagar(12),MAHUA MOITRA,628789,56705,AITC
382,Barrackpur(15),PARTHA BHOWMICK,520231,64438,AITC
383,Dum dum(16),SOUGATA RAY,528579,70660,AITC
384,Barasat(17),KAKOLI GHOSH DASTIDAR,692010,114189,AITC
385,Basirhat(18),SK NURUL ISLAM,803762,333547,AITC
386,Joynagar(19),PRATIMA MONDAL,894312,470219,AITC
387,Mathurapur(20),BAPI HALDAR,755731,201057,AITC
